sample	EV1	EV2	cluster
ARG0159	-0.022112688756017976	-0.0031713529096340596	0
ARG0160	-0.022400772681325384	-0.13979928059588778	0
ARG0161	0.17324797344737208	0.023420696969924125	1
ARG0162	-0.021409011385285982	0.006253316210213251	0
ARG0163	-0.02094965440190089	-0.014533025079837059	0
ARG0164	0.12027264917032632	-0.017033217921731788	1
ARG0166	0.17454723870868086	0.021836143393051045	1
ARG0167	-0.020564270426288528	-0.012107644202147686	0
ARG0168	-0.020557034405692235	-0.00912765448507058	0
ARG0169	-0.02205221391713464	-0.025327286282365705	0
ARG0170	-0.02105807186914213	-0.03182214787049297	0
ARG0171	0.24953684974923496	-0.0068443094492476805	2
ARG0172	0.25038416431611304	-0.006449831068099196	2
ARG0173	0.117190254992731	0.024238400514699377	1
ARG0174	0.11770800795882008	-0.0021501066135197477	1
ARG0175	0.11639727062539008	-0.004150794660283553	1
ARG0176	0.11961544848344875	-0.003000569373122316	1
ARG0177	0.25106639977367423	-0.006078541388578426	2
ARG0178	0.1178079647084896	-0.0013417958802410535	1
ARG0179	0.11954202387168901	0.036094109612321706	1
ARG0180	0.25094122302517186	-0.005692057425672414	2
ARG0181	0.11726874629450036	-0.004485918244163351	1
ARG0182	-0.021429196266684637	-0.02688128591833335	0
ARG0183	-0.020374055655792242	-0.03966825724450569	0
ARG0184	0.11456769943613186	-0.0029489262152671315	1
ARG0185	-0.020496211542347403	-4.328966814829069e-4	0
ARG0186	0.1158443054067574	-0.008950596119417394	1
ARG0187	-0.014908601431388231	-0.003682864634220732	0
ARG0188	0.2452464173402593	-0.006528835860742183	2
ARG0189	-0.021671717418691276	-0.08383560414447626	0
ARG0190	-0.020617560542357215	-0.02506790380990535	0
ARG0191	-0.020596490822440132	-0.008829624697039032	0
ARG0192	-0.021069383230728787	-0.006903506578614973	0
ARG0193N	-0.021610394839084533	-0.019159755118479206	0
ARG0194	-0.02002453611551888	-0.01047284983438957	0
ARG0195	-0.02009441046320771	-0.022400318786481674	0
ARG0196	-0.021800717889343752	-0.013043448275857992	0
ARG0197	0.11699335075810302	-0.011704090755332386	1
ARG0198	-0.0220449878320548	-0.02275140089312327	0
ARG0199	-0.021855265866031887	-0.028799976164597077	0
ARG0200	-0.021463076687037536	-0.0175333335851708	0
ARG0201	-0.020962609430957114	0.021812029013020748	0
ARG0202	-0.021528316097953977	0.01939901154525767	0
ARG0203	-0.021410890979000653	0.03176451414461856	0
ARG0204	-0.02369222397147343	0.03367561834654543	0
ARG0205	-0.0207952177635888	0.026239471830026118	0
ARG0206	-0.021869761621123352	0.053554762248630775	0
ARG0207	-0.021722182364154866	0.010972967114447424	0
ARG0208	-0.020537004499832742	0.06260823562457823	0
ARG0209	-0.022314842830708746	0.007355824930787267	0
ARG0210	-0.020296505287389768	0.03258836814880012	0
ARG0211	-0.020417720502056605	0.011443435827809208	0
ARG0212	-0.02046492886149157	0.034102829385458715	0
ARG0213	-0.020191676644795292	0.04254471646054954	0
ARG0214	-0.021207652656621494	0.0013206899040624828	0
ARG0215	-0.021895916881281147	0.027192206614040038	0
ARG0216	-0.02086229784514563	0.045089472895611	0
ARG0217	-0.020209627738797316	0.07511755317777455	0
ARG0218	-0.021419177754642853	0.029942055514121758	0
ARG0219	-0.022598192963876454	0.027571643380252673	0
ARG0220	-0.021050203311163855	0.03471888521106456	0
ARG0221	-0.020646856431432468	-0.07500931484363946	0
ARG0222	-0.021519179061420663	-0.06954093575024049	0
ARG0223	-0.020907419008173042	-0.04493974253550924	0
ARG0224	-0.021069849721477955	-0.051082231954460613	0
ARG0225N	-0.022584440295662388	-0.0518146722375498	0
ARG0226N	-0.022633347271073488	-0.06274781508761712	0
ARG0227	-0.022039508779167077	-0.07087504184598943	0
ARG0228	-0.02182543123106096	-0.058170350354322935	0
ARG0229	-0.02082581000541161	-0.06865094062646984	0
ARG0230N	-0.02220390303120514	-0.06366617372887333	0
ARG0231	-0.01958994982154549	-0.018986332323302085	0
ARG0232	-0.020300748559539047	0.024184509913053553	0
ARG0233	-0.021878872918883747	-0.04216685621104705	0
ARG0234	-0.02050637681163374	-0.020438720683926336	0
ARG0235	-0.022385948638497737	-0.036979574094823685	0
ARG0236	-0.022010463623805265	-0.06733927129882615	0
ARG0237	-0.0220455793331572	-0.04426442468267536	0
ARG0238	-0.022100788163987094	-0.04748950686157479	0
ARG0239	-0.021300804596108558	-0.0659916156645658	0
ARG0240	-0.020856034441027897	-0.06504127677079839	0
ARG0241	-0.02194992599409379	-0.06859609372452817	0
ARG0242	-0.02159645896414234	-0.03189414838458501	0
ARG0243	-0.015771165368191346	-0.05067609483662618	0
ARG0244	-0.021453962572498493	-0.07086800974540315	0
ARG0245	-0.021240031512187015	-0.06542878220152615	0
ARG0246	-0.02165631017890945	-0.047908604613947074	0
ARG0247	-0.022887171862782	-0.06934162289294227	0
ARG0248	-0.021670911366095422	-0.08394192414870114	0
ARG0249	-0.020574079061736552	-0.03937522752742866	0
ARG0250	-0.021222809857039133	-0.07407836860784811	0
ARG0251	-0.02257958053892421	-0.05319740701914954	0
ARG0252	-0.018525344798994425	-0.022305454165545135	0
ARG0253	-0.021903694082159357	-0.03310119133720797	0
ARG0254	-0.019833314080840388	-0.028242322312696053	0
ARG0255	-0.019444637675124592	-0.0529223150709774	0
ARG0256	-0.022386465071975316	-0.07368279045716075	0
ARG0257	-0.02128598400518416	-0.048936577352747104	0
ARG0258	0.016944240656269108	-0.011548877656704471	0
ARG0259	-0.022548010692269457	-0.1021903819893862	0
ARG0260	-0.02039337154682144	-0.051486370284291066	0
ARG0261	-0.0199397422970994	-0.013371923544577365	0
ARG0262	-0.021746365067254997	-0.08564830667570987	0
ARG0263	-0.02247100703919164	-0.08389563582173892	0
ARG0264	-0.02216484774573083	-0.07872226599352734	0
ARG0265	-0.02119269147288086	-0.04477149525047173	0
ARG0266N	-0.021213414734619095	-0.03280538791185257	0
ARG0267N	-0.021372889882437483	-0.03514959768332836	0
ARG0268	-0.021432836428964826	-0.07263390128008176	0
ARG0269	-0.022120340498066132	-0.05018345419449179	0
ARG0270	-0.020706893871992052	-0.022933846265407995	0
ARG0271	-0.022246592800586423	-0.14455964217539727	0
ARG0272	-0.02318831695338387	-0.12967073165376064	0
ARG0273	-0.022354864265115473	-0.07155137295095362	0
ARG0274	-0.023310521760504903	-0.14467602626504844	0
ARG0275	-0.022635615548579326	-0.06832102497660261	0
ARG0276	-0.02176979873116567	-0.05984319722209961	0
ARG0277N	-0.022239217878359818	-0.0726973634192551	0
ARG0278N	-0.02264599769416884	-0.13078831416348252	0
ARG0279	-0.022128225022702088	-0.12206099214112849	0
ARG0280	-0.020075795264537195	-0.057378461618086206	0
ARG0281	-0.021125482596644114	-0.05863926046098837	0
ARG0282	-0.021908667574055823	-0.054732576003408376	0
ARG0283	-0.02192095484545735	-0.0451085079379533	0
ARG0284	-0.020274286041360338	-0.07788983740776319	0
ARG0285	-0.021908984250212378	-0.07623425378867055	0
ARG0286	-0.021685067448283402	-0.03936056050986215	0
ARG0287	-0.02036183694635755	-0.07252472596260863	0
ARG0288	-0.020139425085244054	-0.039425602017373454	0
ARG0289	-0.02275849435106068	-0.08304498471415385	0
ARG0290	-0.02103422947424284	-0.05499782402590014	0
ARG0291	-0.02116965161822522	-0.12157025605297773	0
ARG0292	-0.022548053511512137	-0.12718038298361195	0
ARG0293	-0.02279952189660585	-0.10822862113373807	0
ARG0294	-0.021979161803501766	-0.13343618491714976	0
ARG0295	-0.023002372626437943	-0.08473311317201612	0
ARG0296	-0.022713618886425938	-0.0826776198171137	0
ARG0297	-0.022531224678104308	-0.13250837132911694	0
ARG0298N	-0.022773199121651096	-0.09321226474794533	0
ARG0299	-0.021618733200424706	-0.10275966832985779	0
ARG0300	0.09747967139853789	-0.04670146762430434	1
