name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
ARG0001	-0.08060810349633428	0.03438791097268137	-0.0018806881057682045	0.05315554095348761	-0.042380283657886514	0.006041882508805995	0.004060022625881516	-0.007097998652574165	0.033936100202085796	-0.002728071018379559	0.0012516726802004924	0.01986855754171923	0.009165570759220736	-0.005020872826473009	-0.00236155673161237	-1.906288464050477e-5	0.011275145912630544	-0.00947295700219915	-0.03233386131488033	-0.24792939481607687
ARG0002	-0.087812933518293	0.03710277028390538	-0.002087654075559199	0.048652751769088926	-0.04432801769461284	0.007049335032725073	0.004938715264327922	-0.005595656167298457	0.034918670813423494	-0.0013209389575468168	2.5448283357889937e-4	0.033397928186262325	0.007126588075938141	-0.006007925262526215	-3.3114105278024813e-4	-0.001811667963515184	0.010236003864976917	-0.007267876039317098	-0.03223255767246849	-0.2720800336111884
ARG0003	-0.08565173052210223	0.03504328475655393	-0.004510678550025907	0.05311896373854085	-0.040629284438186086	0.002278728079360371	-0.00169591489553864	-0.00527170982203838	0.02935843170370071	-0.0024028123526178263	-0.0012484644133393095	0.02972800091149449	0.006857324206338805	-0.003721953663792055	-0.0037323058636167987	4.1262433514460407e-4	0.008677219690752126	-0.006095046315505263	-0.025879855934045105	-0.20780393288516197
ARG0004	-0.08879286244619211	0.036391227713303345	-0.006654522013769853	0.05190962188089076	-0.04143350018646111	0.0018754751901253943	-0.004319455955605338	-0.008690314711665363	0.0300865207343063	-0.0013209698854735263	0.0014690956709623162	0.02258266510125085	0.006085332755055835	-0.010203830103030904	-8.883984912622324e-4	-0.003438324332009813	0.009994497785250267	-0.00615424578146234	-0.031247444025052657	-0.25393865449076486
ARG0005	-0.07905532045981951	0.03339583392284247	-0.0038234547278572107	0.05310991787333009	-0.04489739929172163	0.00617008002940445	1.6466550269602634e-4	-0.007564552443628966	0.03404953914766459	-0.005046981113747296	-0.0024594754518211435	0.04128272349184281	0.0066787525503359865	-0.0035874194805502174	-0.0010910070730607876	4.4373478930900367e-4	0.00873363858852915	-0.0065273470264039235	-0.022511555501605753	-0.1800499799158446
ARG0006	-0.0855792044836586	0.036468530024118914	-0.0027676911630079458	0.051925569361436046	-0.04182572277285362	0.006219581614548923	0.005088486618816198	-0.006417110588885712	0.02850889775780189	0.001764831236048239	-0.0012132739369082302	0.016537860298922943	0.01048912921535141	-9.352666355888161e-4	-0.003272773993285064	-0.003991758496418274	0.010196458142324893	-0.006311485041086234	-0.03171190923508922	-0.22905436350198463
ARG0007	-0.08815045484125539	0.0373724428894523	-0.004735327601735397	0.06047481258179346	-0.05072436819908254	0.006023822020121698	-0.0023983755020502966	-0.00912552368822869	0.04081121252160747	-0.0019613497767480333	-1.1001195410729515e-4	0.03663344827967914	0.01049506778028887	-0.0029684456379754573	-0.0033507809082027017	-0.0020731857187033446	0.012671358208643506	-0.010348669038810702	-0.034333699666916406	-0.2696647561247897
ARG0008	-0.0883604342876545	0.035599227021080676	-0.0048185111471307895	0.05432244905268557	-0.04368144682946605	0.0019214937643102512	-0.001900382580075112	-0.006908783142669104	0.03155181701067732	-3.062065905261233e-4	1.4716229202955998e-6	0.0261414115522065	0.008774957539385448	-0.004385612630212175	-0.0042140522232643985	-0.0017937751860924492	0.010593213119895133	-0.006467035611674805	-0.028244820617362464	-0.2338664656019819
ARG0009	-0.08612479475208094	0.035589992499837714	-0.0028067343110639497	0.05078028792825383	-0.04080610493196524	0.0037553640473955777	-6.904507904611883e-4	-0.006413598735280145	0.0316886006147357	-0.0035462121413343	0.0020346508876919853	0.031622915511362565	0.008515981244513186	-9.845407473357967e-4	5.81109332405156e-4	-0.0032707612722759102	0.0075493626228254505	-0.005735508164795167	-0.03003763313969638	-0.23288345544127625
ARG0010	-0.07675827238775586	0.040152218393323766	0.02330555033550717	0.03867329250794496	-0.08137519404985558	0.06270339605119729	0.11881526041709145	0.009039640474682193	0.06447175448558265	0.03100372936238379	-3.0775708168254227e-4	0.033769318095397696	0.03039909006001202	-0.019195328581458834	-0.007350630257900233	-0.0016397779184923005	0.02313857292826834	-0.013547178720036607	-0.0359510530766531	-0.29177234589148915
