species	inv_positive	inv_count	snp_positive	snp_count	pvalue	data_type
annuus	2	11	220877	3011134	0.4228065214797531	Trait GWA
argophyllus	2	7	67859	2715707	0.0013336333250263982	Trait GWA
petpet	3	14	84133	1729482	0.023839348160219084	Trait GWA
petfal	10	13	110567	1866721	1.1036967693710152e-24	Trait GWA
annuus	4	11	223812	2945413	0.002433833346739699	Environmental GEA
argophyllus	2	7	246015	2586599	0.2824776381827505	Environmental GEA
petpet	12	14	127403	1726672	1.0137843386406362e-26	Environmental GEA
petfal	11	13	182571	1847100	1.0964611093466089e-17	Environmental GEA
